# Performance Monitoring Events for Intel Atom Processors Based on the Goldmont Microarchitecture - V8
# 8/16/2016 1:31:03 PM
# Copyright (c) 2007 - 2016 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	PEBScounters	SampleAfterValue	MSRIndex	MSRValue	CollectPEBSRecord	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	Errata
0xB7	0x01,0x02	OFFCORE_RESPONSE.COREWB.L2_MISS.ANY	Counts the number of writeback transactions caused by L1 or L2 cache evictions that miss the L2 cache.	0,1,2,3	0	100007	0x1a6	0x3600000008 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.COREWB.L2_MISS.HITM_OTHER_CORE	Counts the number of writeback transactions caused by L1 or L2 cache evictions that miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0	100007	0x1a6	0x1000000008 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.COREWB.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts the number of writeback transactions caused by L1 or L2 cache evictions that miss the L2 cache with a snoop hit in the other processor module, no data forwarding is required.	0,1,2,3	0	100007	0x1a6	0x0400000008 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.COREWB.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts the number of writeback transactions caused by L1 or L2 cache evictions that true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0	100007	0x1a6	0x0200000008 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.COREWB.L2_HIT	Counts the number of writeback transactions caused by L1 or L2 cache evictions that hit the L2 cache.	0,1,2,3	0	100007	0x1a6	0x0000040008 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_CODE_RD.OUTSTANDING	Counts demand instruction cacheline and I-side prefetch requests that miss the instruction cache that are outstanding, per cycle, from the time of the L2 miss to when any response is received.	0,1,2,3	0	100007	0x1a6	0x4000000004 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_CODE_RD.L2_MISS.ANY	Counts demand instruction cacheline and I-side prefetch requests that miss the instruction cache that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600000004 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_CODE_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts demand instruction cacheline and I-side prefetch requests that miss the instruction cache that miss the L2 cache with a snoop hit in the other processor module, no data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0400000004 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_CODE_RD.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts demand instruction cacheline and I-side prefetch requests that miss the instruction cache that true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0	100007	0x1a6,0x1a7	0x0200000004 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_CODE_RD.L2_HIT	Counts demand instruction cacheline and I-side prefetch requests that miss the instruction cache that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000040004 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_RFO.OUTSTANDING	Counts demand reads for ownership (RFO) requests generated by a write to full data cache line that are outstanding, per cycle, from the time of the L2 miss to when any response is received.	0,1,2,3	0	100007	0x1a6	0x4000000002 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.ANY	Counts demand reads for ownership (RFO) requests generated by a write to full data cache line that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600000002 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.HITM_OTHER_CORE	Counts demand reads for ownership (RFO) requests generated by a write to full data cache line that miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x1000000002 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts demand reads for ownership (RFO) requests generated by a write to full data cache line that miss the L2 cache with a snoop hit in the other processor module, no data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0400000002 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_RFO.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts demand reads for ownership (RFO) requests generated by a write to full data cache line that true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0	100007	0x1a6,0x1a7	0x0200000002 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_RFO.L2_HIT	Counts demand reads for ownership (RFO) requests generated by a write to full data cache line that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000040002 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_DATA_RD.OUTSTANDING	Counts demand cacheable data reads of full cache lines that are outstanding, per cycle, from the time of the L2 miss to when any response is received.	0,1,2,3	0	100007	0x1a6	0x4000000001 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.ANY	Counts demand cacheable data reads of full cache lines that miss the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x3600000001 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.HITM_OTHER_CORE	Counts demand cacheable data reads of full cache lines that miss the L2 cache with a snoop hit in the other processor module, data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x1000000001 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.HIT_OTHER_CORE_NO_FWD	Counts demand cacheable data reads of full cache lines that miss the L2 cache with a snoop hit in the other processor module, no data forwarding is required.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0400000001 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_MISS.SNOOP_MISS_OR_NO_SNOOP_NEEDED	Counts demand cacheable data reads of full cache lines that true miss for the L2 cache with a snoop miss in the other processor module. 	0,1,2,3	0	100007	0x1a6,0x1a7	0x0200000001 	0	0	0	0	0	0	0	null
0xB7	0x01,0x02	OFFCORE_RESPONSE.DEMAND_DATA_RD.L2_HIT	Counts demand cacheable data reads of full cache lines that hit the L2 cache.	0,1,2,3	0	100007	0x1a6,0x1a7	0x0000040001 	0	0	0	0	0	0	0	null
